Genre,Segment,Title
Sports,cricket,IPL set begin March 22 : Arun Dhumal
Sports,cricket,Pant course comeback IPL
Sports,cricket,"’ Bazball – India better , full credit supply chain"
Sports,Football,Turkish Women 's Cup | Manisha 's brace seal India football team 's win Estonia
Sports,Football,"Jota month , say Klopp , Liverpool 's injury crisis deepens"
Sports,Football,"Andreas Brehme , scorer West Germany 's winning goal 1990 World Cup final , dy 63"
Sports,Hockey,Harendra Singh : eight Olympic hockey gold great saw happen ?
Sports,Hockey,India register hard-fought win Ireland last match
Sports,Hockey,"India go China , Dutch juggernaut roll"
Sports,Tennis,Ramkumar shock Bengaluru champion Napolitano
Sports,Tennis,Bengaluru Open | Seongchan Hong keen realise dream military service call-up
Sports,Tennis,Sinner beat de Minaur Rotterdam final first tournament since winning Australian Open
Sports,Athletics,"Tajinder , Jyothi , Harmilan strike gold Indoor Asians"
Sports,Athletics,Jyothi Yarraji rewrite record win 60m hurdle gold Asian Indoor Athletics Championships
Sports,Athletics,World marathon record holder Kelvin Kiptum dy road accident
Sports,Motorsport,Formula 4 night street car race | Madras High Court wave green flag
Sports,Motorsport,MOTORSPORTS | Surineni Abhay winning start
Sports,Motorsport,Lewis Hamilton turned red blue — mean Formula One
Sports,Races,Extra day ’ race Hyderabad Feb. 29
Sports,Races,"Samurai Blue , Despacito , Forest Lake Jack Richer please"
Sports,Races,Corinthian excels
Sports,Races,El Greco Reminiscence show
Sports,Races,"Gold , Element , Rubert , Something Royal Red Sea Star excel"
Sports,Races,"Vyasa , Magnetic , Rise Reign , Elfin Knight Tesorino catch eye"
Sports,Races,Geographique Dexa please
Sports,Races,Lady Danger win Mirza Zunnur Ahmed Memorial Cup
Sports,Races,"Dash , Thalassa Panther impress"
Sports,Races,"Irish Rockstar , Macron , Positano Armory impress"
Sports,Races,Trishul primed score hat-trick Mirza Zunnur Ahmed Memorial Cup
Sports,Races,Dapper Look triumph feature event
Sports,Other-sports,East hang 211 point topple West NBA All-Star Game
Sports,Other-sports,Hideki Matsuyama win Riviera 62 ; becomes Asia 's prolific PGA Tour winner
Sports,Other-sports,"Tvesa miss , Kylie win Dimension Data Ladies golf"
