Genre,Segment,Title
Sci-tech,Science,Open Day Institute Astrophysics Bengaluru February 25
Sci-tech,Science,Watch | ‘ Artificial skin ’ prototype developed scientist Austria
Sci-tech,Science,Scientists discover anatomy behind song baleen whale
Sci-tech,Technology,OpenAI ’ ChatGPT generates nonsense illogical response ; fixed
Sci-tech,Technology,Private U.S. spacecraft enters orbit around moon ahead landing attempt
Sci-tech,Technology,FDA warns smartwatches ring claim measure blood sugar without needle
Sci-tech,Health,Organ commerce rear ugly head
Sci-tech,Health,rheumatoid arthritis prevented ? | Explained
Sci-tech,Health,Cashless Everywhere initiative welcomed patient hindered slow implementation hospital
Sci-tech,Health,"Global study quantifies rise blood clot , heart inflammation following COVID-19 vaccination"
Sci-tech,Health,Tamil Nadu health department look leveraging PCR pick TB antigen
Sci-tech,Health,Explained | non-communicable disease increasing India ?
Sci-tech,Health,hot air air pollution
Sci-tech,Agriculture,MSP law brought hurry ; farmer come forward talk govt : Arjun Munda
Sci-tech,Agriculture,‘ sweet ’ variety give fresh hope Pineapple farmer Kerala
Sci-tech,Agriculture,Filmmaker-farmer duo script story transformation natural farming
Sci-tech,Energy-and-environment,Green Humour Rohan Chakravarty ‘ State World ’ Migratory Species ’ report
Sci-tech,Energy-and-environment,Scientists track longest wolf trek across Europe droppings
Sci-tech,Energy-and-environment,"Rare 'triple-dip ' La Nina improved air quality north India , increased pollution peninsular region 2022-23 , study say"
Sci-tech,Gadgets,Dell Technologies Alienware launch QD-OLED gaming monitor India
Sci-tech,Gadgets,Nothing Phone 2a confirms feature Dimensity 7200 Pro
Sci-tech,Gadgets,Premium smartphone segment driving growth 70 % sale happening outside Tier 1
Sci-tech,Internet,X leaf post verified user promoting slavery
Sci-tech,Internet,Meta cutting funding fact-checking WhatsApp ahead election
Sci-tech,Internet,One two cybersecurity professional say formal education useless current job
